type,reality,planet,onym,freq,novel
неклассифицировано,вымышленный,иное,Выяснить,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Установить,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Простите,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вряд,7,Туманность Андромеды
неклассифицировано,вымышленный,иное,Температура,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Астрономы,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Материки,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Состав,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ионизация,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Смутная,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сотрясающий,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Прошел,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Томительное,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ужасный,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Крыло,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Внизу,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Быстро,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Заросли,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Нигде,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Чудовищная,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Эон,26,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тал,19,Туманность Андромеды
неклассифицировано,вымышленный,иное,Прошло,8,Туманность Андромеды
неклассифицировано,вымышленный,иное,Его,29,Туманность Андромеды
неклассифицировано,вымышленный,иное,Такой,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Столетия,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Разваливающаяся,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Трагично,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Совет,29,Туманность Андромеды
неклассифицировано,вымышленный,иное,Звезда,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Дельта,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ворона,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сорок,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Биолог,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Кое,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Искать,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Великого,26,Туманность Андромеды
неклассифицировано,вымышленный,иное,Набрав,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Включились,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Весь,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Совету,6,Туманность Андромеды
неклассифицировано,вымышленный,иное,Нашли,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Давно,10,Туманность Андромеды
неклассифицировано,вымышленный,иное,Альграбом,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Подходит,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Низу,15,Туманность Андромеды
неклассифицировано,вымышленный,иное,Задорный,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Девочка,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ему,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Было,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Эргу,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ноору,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Скорпионе,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Змее,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Можем,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Скорость,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Точный,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Приходится,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Остановка,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Действие,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Захотелось,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Рыжеволосый,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Привычно,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Изредка,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Грозные,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Покой,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Широкая,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пять,6,Туманность Андромеды
неклассифицировано,вымышленный,иное,Особенно,9,Туманность Андромеды
неклассифицировано,вымышленный,иное,Низе,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Спутники,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ровная,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Можно,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Получив,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Проверив,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Блестящие,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Почему,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вам,7,Туманность Андромеды
неклассифицировано,вымышленный,иное,Подумать,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Галактики,32,Туманность Андромеды
неклассифицировано,вымышленный,иное,Лебедя,23,Туманность Андромеды
неклассифицировано,вымышленный,иное,Киля,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Корабля,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тантре,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Черный,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сообщения,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Первые,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Небольшие,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Потом,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Веда,256,Туманность Андромеды
неклассифицировано,вымышленный,иное,Конг,78,Туманность Андромеды
неклассифицировано,вымышленный,иное,Загорелая,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Советом,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Землю,23,Туманность Андромеды
неклассифицировано,вымышленный,иное,Оставшихся,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ступенчатой,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Лиры,3,Туманность Андромеды
порейоним,вымышленный,Земля,Парус,21,Туманность Андромеды
неклассифицировано,вымышленный,иное,Целью,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Веги,9,Туманность Андромеды
неклассифицировано,вымышленный,иное,Альфы,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вега,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Причина,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Такова,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Очень,9,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сообщение,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Паруса,28,Туманность Андромеды
неклассифицировано,вымышленный,иное,Двадцать,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Корабль,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Теперь,48,Туманность Андромеды
неклассифицировано,вымышленный,иное,Веге,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Увидеть,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тогда,51,Туманность Андромеды
неклассифицировано,вымышленный,иное,Моя,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Дважды,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Геркулеса,10,Туманность Андромеды
неклассифицировано,вымышленный,иное,Мою,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Станете,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Анти-Тья,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Врачи,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Теты,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Волка,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Солнцу,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Два,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Первым,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Экспедиция,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Невероятно,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Помню,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Довольно,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Продолжайте,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Уже,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Включайте,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Всем,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Началось,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Известие,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Молодая,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Лума,19,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ласви,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вспомним,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Медленно,8,Туманность Андромеды
неклассифицировано,вымышленный,иное,Таков,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Звездолеты,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Исчезнувшие,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Разыскать,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Конструкция,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Серьезная,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Иногда,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Передачи,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Иными,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Всех,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Солнцем,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тантрой,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Великолепный,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вместе,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пел,16,Туманность Андромеды
неклассифицировано,вымышленный,иное,Лин,20,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ингрид,34,Туманность Андромеды
неклассифицировано,вымышленный,иное,Дитра,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Кэй,25,Туманность Андромеды
неклассифицировано,вымышленный,иное,Бэр,22,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пела,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Лина,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Бэром,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Зирдой,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Центавра,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Подходило,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пелу,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Лину,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Обычное,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Человеческий,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пока,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Доведем,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Курс,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Экраны,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Странное,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сама,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Мне,46,Туманность Андромеды
неклассифицировано,вымышленный,иное,Темное,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Напряжение,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тритона,5,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тритоне,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Нептуна,6,Туманность Андромеды
неклассифицировано,вымышленный,иное,Попасть,1,Туманность Андромеды
неклассифицировано,реальный,иное,Тритон,6,Туманность Андромеды
неклассифицировано,вымышленный,иное,Забавное,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пришло,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ничего,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ждать,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тональность,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Напряженное,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Бэра,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Продолжительный,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Астронавигатор,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Подошло,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Судьба,4,Туманность Андромеды
неклассифицировано,вымышленный,иное,Неуклонно,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Звонкие,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Звонок,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пользуясь,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Поле,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Губительная,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Посыпались,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Удары,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Электронный,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Раскачивание,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Стерженьки,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Очнувшийся,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Четыре,6,Туманность Андромеды
неклассифицировано,вымышленный,иное,Яркое,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Кчастиц,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Пробуждающая,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Уставившиеся,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Боразоновые,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Никто,6,Туманность Андромеды
неклассифицировано,вымышленный,иное,Избежать,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Быстрее,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вычислим,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Обогнали,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Взгляд,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Эпсилон,16,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тукана,18,Туманность Андромеды
неклассифицировано,вымышленный,иное,Тихий,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Заведующий,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Дар,362,Туманность Андромеды
неклассифицировано,вымышленный,иное,Ветер,292,Туманность Андромеды
неклассифицировано,вымышленный,иное,Спиральной,11,Туманность Андромеды
неклассифицировано,вымышленный,иное,Дороги,14,Туманность Андромеды
неклассифицировано,вымышленный,иное,Сегодня,12,Туманность Андромеды
неклассифицировано,вымышленный,иное,Утром,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Мвен,230,Туманность Андромеды
неклассифицировано,вымышленный,иное,Мас,219,Туманность Андромеды
неклассифицировано,вымышленный,иное,Звездоплавания,18,Туманность Андромеды
неклассифицировано,вымышленный,иное,Последнюю,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Шесть,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Эвда,108,Туманность Андромеды
неклассифицировано,вымышленный,иное,Наль,84,Туманность Андромеды
неклассифицировано,вымышленный,иное,Испытанный,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Осталось,3,Туманность Андромеды
неклассифицировано,вымышленный,иное,Веды,41,Туманность Андромеды
неклассифицировано,вымышленный,иное,Вектор,2,Туманность Андромеды
неклассифицировано,вымышленный,иное,Хрустальное,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Поворотом,1,Туманность Андромеды
неклассифицировано,вымышленный,иное,Циферблат,1,Туманность Андромеды
